tower_id_1|latitude_1|longitude_1|tower_height_1|tower_id_2|latitude_2|longitude_2|tower_height_2|distance
314|-5.905003|-76.101394|15.0|6989|-5.90175|-76.10166667|70.0|361.001219193
314|-5.905003|-76.101394|15.0|6983|-5.907081|-76.1103|11.0|1012.603424164
314|-5.905003|-76.101394|15.0|6997|-5.895262|-76.104769|11.0|1140.206389496
314|-5.905003|-76.101394|15.0|6990|-5.900704|-76.111505|11.0|1216.3756207
314|-5.905003|-76.101394|15.0|6999|-5.894595|-76.105726|11.0|1246.941811775
314|-5.905003|-76.101394|15.0|6995|-5.89789|-76.11019|30.0|1251.972450257
314|-5.905003|-76.101394|15.0|7000|-5.89402778|-76.10455556|20.0|1263.188747644
314|-5.905003|-76.101394|15.0|7001|-5.893689|-76.10454|20.0|1298.763767132
314|-5.905003|-76.101394|15.0|326|-5.89408884785614|-76.1068140743227|30.0|1347.945479525
314|-5.905003|-76.101394|15.0|320|-5.88893191012214|-76.1129550906649|30.0|2190.321843087
314|-5.905003|-76.101394|15.0|6996|-5.89575|-76.121858|11.0|2486.371594414
314|-5.905003|-76.101394|15.0|7009|-5.88563|-76.12665|25.0|3522.983697211
314|-5.905003|-76.101394|15.0|6955|-5.969361|-76.112361|30.0|7219.956971971
314|-5.905003|-76.101394|15.0|6986|-5.905667|-76.026917|30.0|8247.363840588
314|-5.905003|-76.101394|15.0|321|-5.96033015583201|-76.1520971973351|30.0|8303.8867681
314|-5.905003|-76.101394|15.0|6947|-5.980189|-76.11333|20.0|8418.914389278
314|-5.905003|-76.101394|15.0|6998|-5.89465|-76.01693889|20.0|9421.851833659
314|-5.905003|-76.101394|15.0|331|-5.92514244864574|-75.999503674783|30.0|11500.108502358
314|-5.905003|-76.101394|15.0|7048|-5.796249|-76.092548|15.0|12066.482100493
314|-5.905003|-76.101394|15.0|7004|-5.89055|-76.22854|15.0|14169.835897589
314|-5.905003|-76.101394|15.0|7003|-5.89055|-76.231819|30.0|14530.673729285
314|-5.905003|-76.101394|15.0|319|-5.89478322870778|-76.2325052780687|30.0|14562.364674826
314|-5.905003|-76.101394|15.0|329|-6.01552827106242|-76.0270401016982|30.0|14736.582829961
314|-5.905003|-76.101394|15.0|7063|-5.763689|-76.12572|20.0|15857.828594355
314|-5.905003|-76.101394|15.0|6959|-5.95412|-75.96509|15.0|16040.291232179
314|-5.905003|-76.101394|15.0|330|-5.95481111111111|-75.964926297017|30.0|16083.352755179
314|-5.905003|-76.101394|15.0|315|-6.04225003463105|-76.157034498059|30.0|16380.234882746
314|-5.905003|-76.101394|15.0|328|-5.89095756858718|-75.9515264595539|30.0|16667.978959982
314|-5.905003|-76.101394|15.0|7006|-5.88985|-75.95152|15.0|16680.566410038
314|-5.905003|-76.101394|15.0|316|-6.04928331277774|-76.1768403258158|30.0|18009.80632672
314|-5.905003|-76.101394|15.0|6886|-6.05174|-76.18898|20.0|18903.903092497
314|-5.905003|-76.101394|15.0|6938|-6.00047|-76.24543|15.0|19125.900877049
314|-5.905003|-76.101394|15.0|6878|-6.05841|-76.19771|30.0|20037.950143876
314|-5.905003|-76.101394|15.0|7088|-5.726083|-76.009583|125.0|22245.79922175
314|-5.905003|-76.101394|15.0|323|-5.72451545667695|-76.0115583358355|30.0|22301.671004391
314|-5.905003|-76.101394|15.0|11006|-5.729222|-76.002361|90.0|22319.594973925
314|-5.905003|-76.101394|15.0|7087|-5.726237|-76.0074|15.0|22342.269784099
314|-5.905003|-76.101394|15.0|69111|-6.03548|-76.25618|15.0|22403.152472449
