tower_id_1|latitude_1|longitude_1|tower_height_1|tower_id_2|latitude_2|longitude_2|tower_height_2|distance|line_of_sight|additional_height_tower_1|additional_height_tower_2|error_flag
314|-5.905003|-76.101394|15.0|6989|-5.90175|-76.10166667|70.0|361.00121919300005|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6983|-5.907081|-76.1103|11.0|1012.603424164|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6997|-5.895262000000001|-76.10476899999999|11.0|1140.2063894960002|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6990|-5.900704|-76.11150500000001|11.0|1216.3756207000001|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6999|-5.894595|-76.105726|11.0|1246.941811775|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6995|-5.89789|-76.11019|30.0|1251.972450257|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|7000|-5.89402778|-76.10455556|20.0|1263.188747644|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|7001|-5.893689|-76.10454|20.0|1298.7637671319999|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|326|-5.89408884785614|-76.1068140743227|30.0|1347.945479525|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|320|-5.88893191012214|-76.1129550906649|30.0|2190.321843087|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6996|-5.89575|-76.12185799999999|11.0|2486.371594414|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|7009|-5.88563|-76.12665|25.0|3522.9836972109997|False|0.0744953038580487|0.2708210102271664|False
314|-5.905003|-76.101394|15.0|6955|-5.969361|-76.11236099999999|30.0|7219.956971971|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6986|-5.905667|-76.026917|30.0|8247.363840588001|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|321|-5.960330155832009|-76.1520971973351|30.0|8303.886768100001|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6947|-5.980189|-76.11333|20.0|8418.914389278001|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6998|-5.89465|-76.01693889|20.0|9421.851833659|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|331|-5.925142448645741|-75.999503674783|30.0|11500.108502358|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|7048|-5.7962489999999995|-76.092548|15.0|12066.482100493|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|7004|-5.89055|-76.22854|15.0|14169.835897588999|False|52.80579104140618|21.19557295179851|False
314|-5.905003|-76.101394|15.0|7003|-5.89055|-76.23181899999999|30.0|14530.673729285|False|9.733359995634927|7.684393325721572|False
314|-5.905003|-76.101394|15.0|319|-5.894783228707781|-76.2325052780687|30.0|14562.364674826002|False|2.772414966486661|14.934998708160748|False
314|-5.905003|-76.101394|15.0|329|-6.015528271062419|-76.0270401016982|30.0|14736.582829961|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|7063|-5.763689|-76.12572|20.0|15857.828594355|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6959|-5.95412|-75.96509|15.0|16040.291232178999|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|330|-5.954811111111111|-75.964926297017|30.0|16083.352755179|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|315|-6.042250034631049|-76.15703449805899|30.0|16380.234882746001|False|459.76246627634595|64.94024848904434|False
314|-5.905003|-76.101394|15.0|328|-5.890957568587179|-75.9515264595539|30.0|16667.978959982|False|11.114990619385011|7.048178437625467|False
314|-5.905003|-76.101394|15.0|7006|-5.88985|-75.95152|15.0|16680.566410038|False|78.52151154198178|46.15802459127201|False
314|-5.905003|-76.101394|15.0|316|-6.04928331277774|-76.1768403258158|30.0|18009.80632672|False|228.23725325501306|51.26740574087927|False
314|-5.905003|-76.101394|15.0|6886|-6.051740000000001|-76.18898|20.0|18903.903092497|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6938|-6.00047|-76.24543|15.0|19125.900877049|False|139.0597547658079|18.126455598700716|False
314|-5.905003|-76.101394|15.0|6878|-6.05841|-76.19771|30.0|20037.950143876|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|7088|-5.726083|-76.00958299999999|125.0|22245.79922175|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|323|-5.724515456676951|-76.0115583358355|30.0|22301.671004391002|False|19.466397061699787|14.879158088075314|False
314|-5.905003|-76.101394|15.0|11006|-5.729222|-76.002361|90.0|22319.594973925|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|7087|-5.726237|-76.0074|15.0|22342.269784099|False|26.643342618091502|20.05155522562336|False
314|-5.905003|-76.101394|15.0|69111|-6.035480000000001|-76.25618|15.0|22403.152472448997|False|215.25256034038622|71.87462708545272|False
314|-5.905003|-76.101394|15.0|6933|-6.007289|-75.91091|12.0|23932.677072797997|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6871|-6.06859|-76.2482|15.0|24319.798729601|False|200.21808601401676|53.60869450637|False
314|-5.905003|-76.101394|15.0|6840|-6.123067|-76.165032|5.0|25123.048953041|False|205.6395046326482|148.1317309740134|False
314|-5.905003|-76.101394|15.0|327|-6.025009345733871|-75.873430656687|30.0|28516.522988514|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6864|-6.075131|-75.90092|12.0|29096.491735536|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6846|-6.10934|-76.26847|30.0|29202.260648089|False|77.31118256533466|64.38203856555606|False
314|-5.905003|-76.101394|15.0|317|-6.11316495635003|-76.2713571445513|30.0|29732.006713382|False|72.97396357772547|63.11231901589312|False
314|-5.905003|-76.101394|15.0|6832|-6.1425|-75.96395|45.0|30353.426647509|True|0.0|0.0|False
314|-5.905003|-76.101394|15.0|6926|-6.02117|-75.81466999999999|9.0|34247.131762185|False|778.9922563003825|5.4576661379344955|False
314|-5.905003|-76.101394|15.0|335|-5.62916666666667|-75.955|30.0|34545.26086121|False|12.685824218727149|21.726323849048924|False
314|-5.905003|-76.101394|15.0|337|-5.71132862568861|-75.84668226611879|30.0|35418.992298431|False|244.25222960200597|88.53437861439582|False
314|-5.905003|-76.101394|15.0|6754|-6.25146|-76.03211999999999|15.0|39073.434355572004|False|186.8800757897354|179.4174292618389|False
315|-6.042250034631049|-76.15703449805899|30.0|316|-6.04928331277774|-76.1768403258158|30.0|2326.460155809|True|0.0|0.0|False
315|-6.042250034631049|-76.15703449805899|30.0|6886|-6.051740000000001|-76.18898|20.0|3688.931273882|True|0.0|0.0|False
315|-6.042250034631049|-76.15703449805899|30.0|6878|-6.05841|-76.19771|30.0|4844.5785034890005|True|0.0|0.0|False
315|-6.042250034631049|-76.15703449805899|30.0|6947|-5.980189|-76.11333|20.0|8397.274097665999|False|103.58493466003085|320.13640801710926|False
315|-6.042250034631049|-76.15703449805899|30.0|6840|-6.123067|-76.165032|5.0|8981.025478667|False|32.87059606078321|3.6654641595677333|False
315|-6.042250034631049|-76.15703449805899|30.0|321|-5.960330155832009|-76.1520971973351|30.0|9075.702107558|False|41.12252802653384|193.95112810061983|False
315|-6.042250034631049|-76.15703449805899|30.0|6955|-5.969361|-76.11236099999999|30.0|9456.974528365|False|80.24942158078366|299.4057206709346|False
315|-6.042250034631049|-76.15703449805899|30.0|6871|-6.06859|-76.2482|15.0|10504.19671111|False|9.613368427281529|1.0836698616579667|False
315|-6.042250034631049|-76.15703449805899|30.0|6938|-6.00047|-76.24543|15.0|10822.070386907|False|57.05726735486445|30.3557458536157|False
